start_id,end_id,type
W2155653793,A5042053820,WRITTEN_BY
A5042053820,I165143802,AFFILIATED_WITH
W2155653793,C11413529,RELATED_TO
W2155653793,C58471807,RELATED_TO
W2155653793,C119857082,RELATED_TO
W2155653793,C154945302,RELATED_TO
W2155653793,C60908668,RELATED_TO
W2155653793,C41008148,RELATED_TO
W2155653793,C78397625,RELATED_TO
W2155653793,C179717631,RELATED_TO
W2155653793,C33923547,RELATED_TO
W2155653793,C50644808,RELATED_TO
W2402144811,A5109387322,WRITTEN_BY
A5109387322,I1291425158,AFFILIATED_WITH
W2402144811,A5110193634,WRITTEN_BY
A5110193634,I1291425158,AFFILIATED_WITH
W2402144811,A5100665512,WRITTEN_BY
A5100665512,I1291425158,AFFILIATED_WITH
W2402144811,A5100715421,WRITTEN_BY
A5100715421,I1291425158,AFFILIATED_WITH
W2402144811,A5068599616,WRITTEN_BY
A5068599616,I1291425158,AFFILIATED_WITH
W2402144811,A5043872671,WRITTEN_BY
A5043872671,I1291425158,AFFILIATED_WITH
W2402144811,A5004386681,WRITTEN_BY
A5004386681,I1291425158,AFFILIATED_WITH
W2402144811,A5012998255,WRITTEN_BY
A5012998255,I1291425158,AFFILIATED_WITH
W2402144811,A5029611587,WRITTEN_BY
A5029611587,I1291425158,AFFILIATED_WITH
W2402144811,A5089543053,WRITTEN_BY
A5089543053,I1291425158,AFFILIATED_WITH
W2402144811,A5000650022,WRITTEN_BY
A5000650022,I1291425158,AFFILIATED_WITH
W2402144811,A5009510257,WRITTEN_BY
A5009510257,I1291425158,AFFILIATED_WITH
W2402144811,A5024140027,WRITTEN_BY
A5024140027,I1291425158,AFFILIATED_WITH
W2402144811,A5063771762,WRITTEN_BY
A5063771762,I1291425158,AFFILIATED_WITH
W2402144811,A5067335143,WRITTEN_BY
A5067335143,I1291425158,AFFILIATED_WITH
W2402144811,A5028992619,WRITTEN_BY
A5028992619,I1291425158,AFFILIATED_WITH
W2402144811,A5016586245,WRITTEN_BY
A5016586245,I1291425158,AFFILIATED_WITH
W2402144811,A5004650249,WRITTEN_BY
A5004650249,I1291425158,AFFILIATED_WITH
W2402144811,A5014405928,WRITTEN_BY
A5014405928,I1291425158,AFFILIATED_WITH
W2402144811,A5080764662,WRITTEN_BY
A5080764662,I1291425158,AFFILIATED_WITH
W2402144811,A5104075606,WRITTEN_BY
A5104075606,I1291425158,AFFILIATED_WITH
W2402144811,A5102988664,WRITTEN_BY
A5102988664,I1291425158,AFFILIATED_WITH
W2402144811,C96324660,RELATED_TO
W2402144811,C41008148,RELATED_TO
W2402144811,C154945302,RELATED_TO
W2402144811,C78766204,RELATED_TO
W2402144811,C119857082,RELATED_TO
W2402144811,C118524514,RELATED_TO
W2402144811,C108583219,RELATED_TO
W2402144811,C48044578,RELATED_TO
W2402144811,C2776214188,RELATED_TO
W2402144811,C50644808,RELATED_TO
W2402144811,C176727019,RELATED_TO
W2402144811,C45374587,RELATED_TO
W2402144811,C120314980,RELATED_TO
W2402144811,C173608175,RELATED_TO
W2402144811,C199360897,RELATED_TO
W2402144811,C111919701,RELATED_TO
W1502922572,A5108711177,WRITTEN_BY
A5108711177,I4210112925,AFFILIATED_WITH
W1502922572,C41008148,RELATED_TO
W1502922572,C8642999,RELATED_TO
W1502922572,C61326573,RELATED_TO
W1502922572,C192209626,RELATED_TO
W1502922572,C119857082,RELATED_TO
W1502922572,C154945302,RELATED_TO
W1502922572,C98045186,RELATED_TO
W1502922572,C163716315,RELATED_TO
W1502922572,C95923904,RELATED_TO
W1502922572,C2780586882,RELATED_TO
W1502922572,C81692654,RELATED_TO
W1502922572,C165216359,RELATED_TO
W1502922572,C11413529,RELATED_TO
W1502922572,C126255220,RELATED_TO
W1502922572,C122123141,RELATED_TO
W1502922572,C105795698,RELATED_TO
W1502922572,C33923547,RELATED_TO
W1502922572,C107673813,RELATED_TO
W1502922572,C138885662,RELATED_TO
W1502922572,C121332964,RELATED_TO
W1502922572,C111472728,RELATED_TO
W1502922572,C62520636,RELATED_TO
W1502922572,C120665830,RELATED_TO
W1502922572,C111919701,RELATED_TO
